"track_name","artists","track_genre","popularity","genre_rank"
"Moonlight Shadow","Mike Oldfield","new-age",69,2
"Return To Innocence","Enigma","new-age",66,3
"Con te partirò","Andrea Bocelli","opera",67,1
"Vivo per lei","Andrea Bocelli;Giorgia","opera",65,2
"The Arts and the Hours","Jean-Philippe Rameau;Víkingur Ólafsson","opera",64,3
"Envolver","Anitta","pagode",84,1
"Envolver","Anitta","pagode",76,2
"Downtown","Anitta;J Balvin","pagode",72,3
"Olivia","Die Zipfelbuben;DJ Cashi","party",74,1
"Layla","DJ Robin;Schürze","party",74,1
"LEBENSLANG - HBz Remix","Tream;treamiboii;HBz","party",73,3
"I Ain't Worried","OneRepublic","piano",96,1
"Running Up That Hill (A Deal With God)","Kate Bush","piano",90,2
"Hold Me Closer","Elton John;Britney Spears","piano",89,3
"Unholy (feat. Kim Petras)","Sam Smith;Kim Petras","pop",100,1
"I'm Good (Blue)","David Guetta;Bebe Rexha","pop",98,2
"Under The Influence","Chris Brown","pop",96,3
"I Ain't Worried","OneRepublic","pop",96,3
"Megham Karukatha (From ""Thiruchitrambalam"")","Dhanush;Anirudh Ravichander","pop-film",80,1
"Thenmozhi (From ""Thiruchitrambalam"")","Santhosh Narayanan;Anirudh Ravichander","pop-film",79,2
"Mallipoo","A.R. Rahman;Madhushree","pop-film",79,2
"The Middle","Jimmy Eat World","power-pop",81,1
"Island In The Sun","Weezer","power-pop",78,2
"Say It Ain't So","Weezer","power-pop",77,3
"One Kiss (with Dua Lipa)","Calvin Harris;Dua Lipa","progressive-house",89,1
"Numb","Marshmello;Khalid","progressive-house",87,2
"Leave Before You Love Me (with Jonas Brothers)","Marshmello;Jonas Brothers","progressive-house",85,3
"Here Comes The Sun - Remastered 2009","The Beatles","psych-rock",82,1
"For What It's Worth","Buffalo Springfield","psych-rock",78,2
"Homage","Mild High Club","psych-rock",78,2
"California Dreamin' - Single Version","The Mamas & The Papas","psych-rock",78,2
"Freaks","Surf Curse","punk",86,1
"All The Small Things","blink-182","punk",83,2
"You're Gonna Go Far, Kid","The Offspring","punk",81,3
"The Middle","Jimmy Eat World","punk",81,3
"Basket Case","Green Day","punk",81,3
"The Kids Aren't Alright","The Offspring","punk",81,3
"There Is a Light That Never Goes Out - 2011 Remaster","The Smiths","punk",81,3
"Teenagers","My Chemical Romance","punk",81,3
"All The Small Things","blink-182","punk-rock",82,1
"The Middle","Jimmy Eat World","punk-rock",81,2
"You're Gonna Go Far, Kid","The Offspring","punk-rock",81,2
"The Kids Aren't Alright","The Offspring","punk-rock",81,2
"Running Up That Hill (A Deal With God)","Kate Bush","r-n-b",90,1
"Running Up That Hill (A Deal With God) - 2018 Remaster","Kate Bush","r-n-b",85,2
"Calling My Phone","Lil Tjay;6LACK","r-n-b",81,3
