"artists","total_count"
"Bad Bunny",4
"Bad Bunny;Bomba Estéreo",4
"Bad Bunny;Chencho Corleone",4
"Bad Bunny;Drake",4
"Bad Bunny;Jhay Cortez",4
"Bad Bunny;Jhayco",4
"Banda Eva;Maneva",4
"Bea Miller",4
"Becky G",4
"Ben E. King",4
"Ben Howard",4
"Bharat Chauhan",4
"Big Up",4
"Biquini Cavadão",4
"Bishop Briggs",4
"Blackstreet;Dr. Dre;Queen Pen",4
"Bob Dylan",4
"Bob Seger",4
"Bob Sinclar",4
"Bob Sinclar;FISHER;Steve Edwards",4
"Bobby Day",4
"Bombay Jayashri",4
"Booka Shade",4
"Boz Scaggs",4
"Brando;Ninetails",4
"Brray",4
"Brray;Chencho Corleone",4
"Brray;Rauw Alejandro",4
"Brytiago;Darell",4
"Brytiago;Jhayco",4
"Brytiago;Wisin",4
"Buddy Holly;The Crickets",4
"Buffalo Springfield",4
"Bullet For My Valentine",4
"Bush",4
"Busy Signal",4
"Butthole Surfers",4
"Cage The Elephant",4
"Calvin Harris;Rihanna",4
"Camisa de Vênus",4
"Canned Heat",4
"Carajo",4
"Catupecu Machu",4
"Ceylan Ertem",4
"Ceylan Ertem;Melike Şahin",4
"Chad Lawson",4
"Charlie Brown Jr.",4
"Charlie Brown Jr.;Marcelo Nova",4
"Charlie Brown Jr.;RZO",4
"Cheap Trick",4
"Chicago",4
"Chico Science;Nação Zumbi",4
"Chris Jedi;Anuel AA;Chencho Corleone;Ñengo Flow",4
"Chris Jedi;J Balvin;Ozuna;Arcangel",4
"Chris Jedi;Joey Montana",4
"Chris Jedi;Ozuna;Brytiago",4
"Chris Jedi;Young Miko;Lunay",4
"Chuck Berry",4
"Cigarettes After Sex",4
"Claptone;JAW",4
"Claptone;Nathan Nicholson",4
"Clean Bandit;Sean Paul;Anne-Marie",4
"Clean Bandit;Zara Larsson",4
"Clutch",4
"Cosmic Gate;Diana Miro",4
"Cosmic Gate;Greenhaven DJs",4
"Crazy Town",4
"Cream",4
"Creed",4
"Creep Hyp",4
"Crown The Empire",4
"Crystal Castles",4
"DJ Isaac;D-Block & S-te-Fan",4
"DJ Shadow;Mos Def",4
"DJ Snake",4
"DJ Snake;Bipolar Sunshine",4
"DJ Snake;J Balvin;Ozuna;Nicky Jam;Natti Natasha;Darell;Sech",4
"DJ Snake;J Balvin;Tyga",4
"DJ Snake;Ozuna;Megan Thee Stallion;LISA",4
"DJ Snake;Sean Paul;Anitta;Tainy",4
"DJ Snake;Selena Gomez",4
"Daddy Yankee;Katy Perry;Snow",4
"Daddy Yankee;Nicky Jam;Plan B;Rome & Urba",4
"Daddy Yankee;Prince Royce",4
"Dale Howard",4
"Danny Ocean",4
"Daya",4
"Dead Fish",4
"Deep Chills;IVIE",4
"Deep Purple",4
"DevilDriver",4
"Devin Kennedy",4
"Dhruv Kapoor",4
"Dillon Francis;DJ Snake",4
"Dillon Francis;ILLENIUM;EVAN GIIA",4
"Dimitri Vegas & Like Mike",4
"Dimitri Vegas & Like Mike;David Guetta;Daddy Yankee;Afro Bros;Natti Natasha;Dimitri Vegas;Like Mike",4
"Dimitri Vegas & Like Mike;David Guetta;Dimitri Vegas;Kiiara",4
